Identifiant_de_l_etablissement;Type_etablissement;Statut_public_prive;Type_contrat_prive;Nom_etablissement;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Libelle_departement;Code_academie;Libelle_academie;Code_region;Libelle_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Lycee_des_metiers;Apprentissage;Segpa;Post_BAC;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Nombre_d_eleves;GRETA;SIREN_SIRET;Fiche_onisep;Appartenance_Education_Prioritaire;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;position;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature
0592382U;Ecole;Public;SANS OBJET;Ecole primaire Ren� Bry;4 rue du Mar�chal Foch ;BP 63;59132 TRELON;59132;59601;Tr�lon;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327597034;;;ce.0592382U@ac-lille.fr;1;0;1;;;;;;;;;;;;;189;;21590601700045;;;778949.7;6996072.5;EPSG:2154;Circonscription d'inspection du 1er degr� d'Avesnes-Fourmies;50.05808362245006;4.101442745972048;50.05808362245006,4.101442745972048;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592387Z;Ecole;Public;SANS OBJET;Ecole primaire Centre;Place de la R�sistance ;;59125 TRITH ST LEGER;59125;59603;Trith-Saint-L�ger;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327237511;;;ce.0592387Z@ac-lille.fr;1;0;1;;;;;;;;;;;;;158;;21590603300083;;;734504.4;7025348.9;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Saint Saulve;50.32497595431586;3.4839060592049886;50.32497595431586,3.4839060592049886;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592393F;Ecole;Public;SANS OBJET;Ecole maternelle Paul Bert;5 bis rue Jean Jaur�s ;;59125 TRITH ST LEGER;59125;59603;Trith-Saint-L�ger;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0327343296;;;ce.0592393F@ac-lille.fr;1;0;0;;;;;;;;;;;;;105;;21590603300034;;;734440.8;7025180.4;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Saint Saulve;50.32346664749814;3.4829996702939696;50.32346664749814,3.4829996702939696;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0592397K;Ecole;Public;SANS OBJET;Ecole primaire;Rue des Ecoles ;;59229 UXEM;59229;59605;Uxem;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328261876;;;ce.0592397K@ac-lille.fr;1;0;0;;;;;;;;;;;;;149;;21590605800023;;;663731.2;7102925.8;EPSG:2154;Circonscription d'inspection du 1er degr� de Dunkerque-Centre;51.02101246580916;2.484243646619005;51.02101246580916,2.484243646619005;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592402R;Ecole;Public;SANS OBJET;Ecole primaire Saint Waast;232 avenue Desandrouins ;;59300 VALENCIENNES;59300;59606;Valenciennes;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327224374;;;ce.0592402R@ac-lille.fr;1;0;1;;;;;;;;;;;;;312;;21590606600398;;REP+;734791.7;7029713.9;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Centre;50.36414819408512;3.488313756038797;50.36414819408512,3.488313756038797;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592404T;Ecole;Public;SANS OBJET;Ecole primaire Plaine de Mons;2 rue du Champ de Manoeuvres ;;59300 VALENCIENNES;59300;59606;Valenciennes;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327320153;;;ce.0592404T@ac-lille.fr;1;0;0;;;;;;;;;;;;;183;;21590606600323;;;738038.7;7029335.9;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Centre;50.36056599800065;3.5338493465090504;50.36056599800065,3.5338493465090504;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592407W;Ecole;Public;SANS OBJET;Ecole maternelle;9 rue Mathieu de Quinvigny ;;59300 VALENCIENNES;59300;59606;Valenciennes;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0327462967;;;ce.0592407W@ac-lille.fr;1;0;0;;;;;;;;;;;;;103;;21590606600356;;;737629.9;7029169.8;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Centre;50.359099500573315;3.5280966762836314;50.359099500573315,3.5280966762836314;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0592418H;Ecole;Public;SANS OBJET;Ecole maternelle Simeon Cuveillier;Rue des Coquelicots ;;59300 VALENCIENNES;59300;59606;Valenciennes;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0327462883;;;ce.0592418H@ac-lille.fr;1;0;0;;;;;;;;;;;;;113;;21590606600240;;REP+;735269.0;7028862.7;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Centre;50.35647977701927;3.494937772955382;50.35647977701927,3.494937772955382;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0592421L;Ecole;Public;SANS OBJET;Ecole maternelle H�l�ne Boucher;Place Raymond Pech ;;59300 VALENCIENNES;59300;59606;Valenciennes;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0327466519;;;ce.0592421L@ac-lille.fr;1;0;0;;;;;;;;;;;;;36;;21590606600380;;REP+;736624.0;7027352.4;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Centre;50.34284300861351;3.513814352978763;50.34284300861351,3.513814352978763;Rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0592429V;Ecole;Public;SANS OBJET;Ecole primaire;6 rue de l'Eglise ;;59218 VENDEGIES AU BOIS;59218;59607;Vendegies-au-Bois;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327275222;;;ce.0592429V@ac-lille.fr;0;0;0;;;;;;;;;;;;;23;;21590607400020;;;741196.1;7009130.6;EPSG:2154;Circonscription d'inspection du 1er degr� d'Avesnes-Le Quesnoy;50.1789500482204;3.5760911493315506;50.1789500482204,3.5760911493315506;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;059009;151;ECOLE DE NIVEAU ELEMENTAIRE
0592432Y;Ecole;Public;SANS OBJET;Ecole primaire Alain Decaux;Rue du Guet ;;59175 VENDEVILLE;59175;59609;Vendeville;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328160590;;;ce.0592432Y@ac-lille.fr;0;0;0;;;;;;;;;;;;;167;;21590609000026;;;705519.8;7053025.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille3-Wattignies;50.574343730956116;3.0777956543467733;50.574343730956116,3.0777956543467733;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592434A;Ecole;Public;SANS OBJET;Ecole primaire Victor Hugo;20 rue de l'Ecole de Filles ;;59227 VERCHAIN MAUGRE;59227;59610;Verchain-Maugr�;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327270447;;;ce.0592434A@ac-lille.fr;0;0;0;;;;;;;;;;;;;122;;21590610800026;;;734117.6;7018975.6;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Saint Saulve;50.267775054267155;3.477940524186989;50.267775054267155,3.477940524186989;Rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592436C;Ecole;Public;SANS OBJET;Ecole primaire Gutenberg;Place de la Mairie ;;59237 VERLINGHEM;59237;59611;Verlinghem;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320088818;;;ce.0592436C@ac-lille.fr;1;0;0;;;;;;;;;;;;;129;;21590611600037;;;699746.5;7064947.6;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille2-Lomme;50.68136110999661;2.996419569505809;50.68136110999661,2.996419569505809;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592437D;Ecole;Public;SANS OBJET;Ecole primaire;198 rue du Calvaire ;;59730 VERTAIN;59730;59612;Vertain;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327792911;;;ce.0592437D@ac-lille.fr;1;0;0;;;;;;;;;;;;;47;;21590612400023;;;737621.8;7013021.9;EPSG:2154;Circonscription d'inspection du 1er degr� de Cambrai-Le Cateau;50.21411629078063;3.5264720736757025;50.21411629078063,3.5264720736757025;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592442J;Ecole;Public;SANS OBJET;Ecole primaire;18 rue du Chapitre ;;59271 VIESLY;59271;59614;Viesly;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327850754;;;ce.0592442J@ac-lille.fr;1;0;0;;;;;;;;;;;;;101;;21590614000029;;;733237.3;7006220.1;EPSG:2154;Circonscription d'inspection du 1er degr� de Cambrai-Le Cateau;50.15328486623449;3.464557772115455;50.15328486623449,3.464557772115455;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592443K;Ecole;Public;SANS OBJET;Ecole maternelle;23 rue de l'Ecole des Filles ;;59271 VIESLY;59271;59614;Viesly;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0327850768;;;ce.0592443K@ac-lille.fr;1;0;0;;;;;;;;;;;;;51;;21590614000037;;;733519.8;7006338.1;EPSG:2154;Circonscription d'inspection du 1er degr� de Cambrai-Le Cateau;50.15432953263439;3.4685159683523303;50.15432953263439,3.4685159683523303;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0592444L;Ecole;Public;SANS OBJET;Ecole primaire du Drooghout;10 RUE VIEUX BERQUIN HM SEC BOIS ;;59232 VIEUX BERQUIN;59232;59615;Vieux-Berquin;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328435676;;;ce.0592444L@ac-lille.fr;1;0;0;;;;;;;;;;;;;69;;21590615700023;;;671716.1;7067948.4;EPSG:2154;Circonscription d'inspection du 1er degr� de Dunkerque-Bailleul;50.707646356530766;2.600307463361425;50.707646356530766,2.600307463361425;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592448R;Ecole;Public;SANS OBJET;Ecole maternelle Centre;Place Jeanne d'Arc ;;59690 VIEUX CONDE;59690;59616;Vieux-Cond�;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0327400795;;;ce.0592448R@ac-lille.fr;0;0;0;;;;;;;;;;;;;138;;21590616500042;;REP;740435.6;7040029.3;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Cond�;50.45640998805418;3.568567806641607;50.45640998805418,3.568567806641607;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0592455Y;Ecole;Public;SANS OBJET;Ecole maternelle du Rieu;102  RUE KLEBER ;;59690 VIEUX CONDE;59690;59616;Vieux-Cond�;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0327400745;;;ce.0592455Y@ac-lille.fr;0;0;0;;;;;;;;;;;;;96;;21590616500109;;REP;739401.8;7041333.4;EPSG:2154;Circonscription d'inspection du 1er degr� de Valenciennes-Cond�;50.46818191257746;3.5541606435264432;50.46818191257746,3.5541606435264432;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0592456Z;Ecole;Public;SANS OBJET;Ecole primaire Pierre Devigne;Rue de Maubeuge ;;59138 VIEUX MESNIL;59138;59617;Vieux-Mesnil;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327663043;;;ce.0592456Z@ac-lille.fr;1;0;0;;;;;;;;;;;;;63;;21590617300020;;;763000.4;7018252.1;EPSG:2154;Circonscription d'inspection du 1er degr� d'Avesnes Aulnoye;50.2590450972851;3.8824094955324844;50.2590450972851,3.8824094955324844;Rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592459C;Ecole;Public;SANS OBJET;Ecole primaire;1 RUE DU CENTRE ;;59600 VIEUX RENG;59600;59618;Vieux-Reng;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327679069;;;ce.0592459C@ac-lille.fr;0;0;0;;;;;;;;;;;;;85;;21590618100023;;;774587.3;7026250.5;EPSG:2154;Circonscription d'inspection du 1er degr� d'Avesnes-Jeumont;50.32958373534955;4.046167062252641;50.32958373534955,4.046167062252641;Ville;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592462F;Ecole;Public;SANS OBJET;Ecole primaire Marc et Olga Choquet;116 rue Berlandois ;;59530 VILLEREAU;59530;59619;Villereau;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327205634;;;ce.0592462F@ac-lille.fr;1;0;0;;;;;;;;;;;;;94;;21590619900025;;;749704.8;7016727.7;EPSG:2154;Circonscription d'inspection du 1er degr� d'Avesnes-Le Quesnoy;50.246551208379664;3.6960086006460644;50.246551208379664,3.6960086006460644;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592463G;Ecole;Public;SANS OBJET;Ecole primaire;Place du Mont Tilleul ;;59234 VILLERS AU TERTRE;59234;59620;Villers-au-Tertre;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327894790;;;ce.0592463G@ac-lille.fr;0;0;0;;;;;;;;;;;;;75;;21590620700034;;;712818.1;7022747.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Douai-Cantin;50.30243796975014;3.1796860278990273;50.30243796975014,3.1796860278990273;Rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592469N;Ecole;Public;SANS OBJET;Ecole primaire;Place du 8 Mai 1945 ;;59297 VILLERS GUISLAIN;59297;59623;Villers-Guislain;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327821922;;;ce.0592469N@ac-lille.fr;0;0;0;;;;;;;;;;;;;56;;21590623100026;;;711140.4;6993488.0;EPSG:2154;Circonscription d'inspection du 1er degr� de Cambrai-Sud;50.039718060985216;3.155360837957393;50.039718060985216,3.155360837957393;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592470P;Ecole;Public;SANS OBJET;Ecole primaire Centre niveau 1;1 rue Jules Ferry ;;59231 VILLERS PLOUICH;59231;59625;Villers-Plouich;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327821588;;;ce.0592470P@ac-lille.fr;1;0;0;;;;;;;;;;;;;29;;21590625600023;;;709577.5;6997897.7;EPSG:2154;Circonscription d'inspection du 1er degr� de Cambrai-Sud;50.07934892001412;3.1336692280001825;50.07934892001412,3.1336692280001825;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;059001;151;ECOLE DE NIVEAU ELEMENTAIRE
0592480A;Ecole;Public;SANS OBJET;Ecole maternelle;5 rue Jules Ferry ;;59127 WALINCOURT SELVIGNY;59127;59631;Walincourt-Selvigny;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0327827072;;;ce.0592480A@ac-lille.fr;1;0;0;;;;;;;;;;;;;90;;21590631400038;;;724195.8;6996842.3;EPSG:2154;Circonscription d'inspection du 1er degr� de Cambrai-Sud;50.06947836837652;3.337626111447389;50.06947836837652,3.337626111447389;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0592491M;Ecole;Public;SANS OBJET;Ecole primaire;Rue Nicolas Despret ;;59132 WALLERS EN FAGNE;59132;59633;Wallers-en-Fagne;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327570102;;;ce.0592491M@ac-lille.fr;0;0;0;;;;;;;;;;;;;28;;21590633000026;;;784300.5;6996813.1;EPSG:2154;Circonscription d'inspection du 1er degr� d'Avesnes-Fourmies;50.06404144809503;4.1762360146424395;50.06404144809503,4.1762360146424395;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592493P;Ecole;Public;SANS OBJET;Ecole primaire Roger Marcotte;107 PLACE DE L'EGLISE ;;59190 WALLON CAPPEL;59190;59634;Wallon-Cappel;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0328400292;;;ce.0592493P@ac-lille.fr;0;0;0;;;;;;;;;;;;;90;;21590634800028;;;662725.2;7070120.3;EPSG:2154;Circonscription d'inspection du 1er degr� de Dunkerque-Hazebrouck;50.726661440518264;2.473051502042557;50.726661440518264,2.473051502042557;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592494R;Ecole;Public;SANS OBJET;Ecole primaire;1 RUE DU ROQUET ;;59400 WAMBAIX;59400;59635;Wambaix;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327786189;;;ce.0592494R@ac-lille.fr;0;0;0;;;;;;;;;;;;;22;;21590635500023;;;721995.3;7003535.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Cambrai-Centre;50.12966969331366;3.3072843011084863;50.12966969331366,3.3072843011084863;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;059014;101;ECOLE MATERNELLE
0592495S;Ecole;Public;SANS OBJET;Ecole primaire Jules Ferry;35 rue du G�n�ral Leclerc ;;59118 WAMBRECHIES;59118;59636;Wambrechies;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320788255;;;ce.0592495S@ac-lille.fr;1;0;0;;;;;;;;;;;;;247;;21590636300050;;;703546.3;7065447.8;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille1-Lambersart;50.68583966403199;3.0500923672644444;50.68583966403199,3.0500923672644444;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592496T;Ecole;Public;SANS OBJET;Ecole primaire Pasteur;85 chemin du Fort ;;59118 WAMBRECHIES;59118;59636;Wambrechies;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320787446;;;ce.0592496T@ac-lille.fr;1;0;0;;;;;;;;;;;;;181;;21590636300068;;;703926.7;7066065.8;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille1-Lambersart;50.69138302648601;3.055471742424006;50.69138302648601,3.055471742424006;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592498V;Ecole;Public;SANS OBJET;Ecole maternelle Louis Leroy;17 rue des Ecoles ;;59118 WAMBRECHIES;59118;59636;Wambrechies;59;Nord;09;Lille;32;Hauts-de-France;1;0;;;;0320788488;;;ce.0592498V@ac-lille.fr;1;0;0;;;;;;;;;;;;;114;;21590636300035;;;703658.1;7065362.6;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille1-Lambersart;50.68507446882499;3.0516707820387996;50.68507446882499,3.0516707820387996;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE
0592502Z;Ecole;Public;SANS OBJET;Ecole primaire Pablo Picasso;2 rue Jean Baptiste Tonnel ;;59830 WANNEHAIN;59830;59638;Wannehain;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320843797;;;ce.0592502Z@ac-lille.fr;1;0;0;;;;;;;;;;;;;145;;21590638900022;;;718879.1;7052568.7;EPSG:2154;Circonscription d'inspection du 1er degr� de Lille3-Ronchin;50.56998285953152;3.266058030297063;50.56998285953152,3.266058030297063;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592503A;Ecole;Public;SANS OBJET;Ecole primaire Pierre Pisson;1 rue du Paradis ;;59144 WARGNIES LE GRAND;59144;59639;Wargnies-le-Grand;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0967371646;;;ce.0592503A@ac-lille.fr;1;0;0;;;;;;;;;;;;;154;;21590639700025;;;747159.0;7023657.2;EPSG:2154;Circonscription d'inspection du 1er degr� d'Avesnes-Le Quesnoy;50.30896392023503;3.6611743298986315;50.30896392023503,3.6611743298986315;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;1;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592505C;Ecole;Public;SANS OBJET;Ecole primaire Centre;Chemin des Vaches ;;59144 WARGNIES LE PETIT;59144;59640;Wargnies-le-Petit;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327499964;;;ce.0592505C@ac-lille.fr;0;0;0;;;;;;;;;;;;;99;;21590640500026;;;748133.4;7022184.8;EPSG:2154;Circonscription d'inspection du 1er degr� d'Avesnes-Le Quesnoy;50.29567045411032;3.674658493909764;50.29567045411032,3.674658493909764;Rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592509G;Ecole;Public;SANS OBJET;Ecole primaire Lavoisier;7 rue Lavoisier ;;59150 WATTRELOS;59150;59650;Wattrelos;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320757136;;;ce.0592509G@ac-lille.fr;1;0;1;;;;;;;;;;;;;232;;21590650400158;;REP;714432.5;7067092.3;EPSG:2154;Circonscription d'inspection du 1er degr� de Roubaix-Wattrelos;50.700439407621346;3.2039222063454087;50.700439407621346,3.2039222063454087;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592510H;Ecole;Public;SANS OBJET;Ecole primaire Lakanal;90 rue Saint Vincent de Paul ;;59150 WATTRELOS;59150;59650;Wattrelos;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320752444;;;ce.0592510H@ac-lille.fr;1;0;0;;;;;;;;;;;;;203;;21590650400299;;REP;714439.1;7067653.5;EPSG:2154;Circonscription d'inspection du 1er degr� de Roubaix-Wattrelos;50.705475078293844;3.2040359490359775;50.705475078293844,3.2040359490359775;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592511J;Ecole;Public;SANS OBJET;Ecole primaire Condorcet;20 rue des Patriotes ;;59150 WATTRELOS;59150;59650;Wattrelos;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320752077;;;ce.0592511J@ac-lille.fr;1;0;1;;;;;;;;;;;;;231;;21590650400281;;REP;714102.5;7067638.8;EPSG:2154;Circonscription d'inspection du 1er degr� de Roubaix-Wattrelos;50.705350884708565;3.1992790199480914;50.705350884708565,3.1992790199480914;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592513L;Ecole;Public;SANS OBJET;Ecole primaire Anatole France;70 rue de Boulogne ;;59150 WATTRELOS;59150;59650;Wattrelos;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320013207;;;ce.0592513L@ac-lille.fr;1;0;0;;;;;;;;;;;;;120;;21590650400067;;;713201.2;7069317.1;EPSG:2154;Circonscription d'inspection du 1er degr� de Roubaix-Wattrelos;50.72043033927749;3.1865990596556344;50.72043033927749,3.1865990596556344;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592514M;Ecole;Public;SANS OBJET;Ecole primaire L�o Lagrange;25 rue L�o Lagrange ;;59150 WATTRELOS;59150;59650;Wattrelos;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320268384;;;ce.0592514M@ac-lille.fr;1;0;1;;;;;;;;;;;;;188;;21590650400141;;REP;712713.0;7068442.8;EPSG:2154;Circonscription d'inspection du 1er degr� de Roubaix-Wattrelos;50.7125952856337;3.1796702535877484;50.7125952856337,3.1796702535877484;Rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592515N;Ecole;Public;SANS OBJET;Ecole primaire Jean Zay;47 rue du Sapin Vert ;;59150 WATTRELOS;59150;59650;Wattrelos;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0320263506;;;ce.0592515N@ac-lille.fr;1;0;0;;;;;;;;;;;;;152;;21590650400349;;REP;712813.4;7068677.1;EPSG:2154;Circonscription d'inspection du 1er degr� de Roubaix-Wattrelos;50.71469564279153;3.1810967758262265;50.71469564279153,3.1810967758262265;Rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE
0592516P;Ecole;Public;SANS OBJET;Ecole primaire;Rue Carnot ;;59680 WATTIGNIES LA VICTOIRE;59680;59649;Wattignies-la-Victoire;59;Nord;09;Lille;32;Hauts-de-France;1;1;;;;0327678137;;;ce.0592516P@ac-lille.fr;0;0;0;;;;;;;;;;;;;19;;21590649600025;;;772207.7;7011790.3;EPSG:2154;Circonscription d'inspection du 1er degr� d'Avesnes-Jeumont;50.200035494485896;4.010199708645252;50.200035494485896,4.010199708645252;Num�ro de rue;1965-09-01;2019-09-11;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;059011;151;ECOLE DE NIVEAU ELEMENTAIRE
